,sal_20_21,currentAge,height,weight,total_timeOnIce,total_assists,total_goals,total_pim,total_hits,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_overTimeGoals,total_shortHandedGoals,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,assist_height,name,birthStateProvince,birthCountry,alternateCaptain,captain,rookie,shootsCatches,rosterStatus
143,212940.0,28,74.0,206,6797.56,71.0,15.0,125.0,234.0,125.0,0.0,12.7,1.0,0.0,453.11,452.0,-70.0,5254.0,Defenseman,ON,CAN,False,False,False,L,Y
144,3600000.0,26,70.0,185,3182.04,70.0,43.0,98.0,112.0,98.0,145.01999999999998,46.59,0.0,0.0,21.87,105.0,-18.0,4900.0,Center,BC,CAN,False,False,False,L,Y
145,6000000.0,25,72.0,196,5100.15,135.0,86.0,74.0,76.0,74.0,245.84,56.629999999999995,3.0,0.0,4.9,67.0,12.0,9720.0,Right Wing,AB,CAN,False,False,False,R,Y
146,2500000.0,25,73.0,185,4240.76,71.0,52.0,114.0,282.0,114.0,204.87,39.019999999999996,2.0,4.0,163.76000000000002,135.0,9.0,5183.0,Left Wing,ON,CAN,False,False,False,L,Y
147,1250000.0,25,77.0,214,572.49,7.0,8.0,6.0,29.0,6.0,39.04,11.1,0.0,1.0,62.22,10.0,4.0,539.0,Left Wing,0,SWE,False,False,False,L,Y
148,15000000.0,24,72.0,175,5534.39,208.0,83.0,102.0,125.0,102.0,181.01,43.699999999999996,1.0,1.0,253.95,144.0,27.0,14976.0,Right Wing,ON,CAN,True,False,False,R,Y
149,15910000.0,23,75.0,220,5297.98,127.0,158.0,46.0,105.0,46.0,208.45999999999998,63.459999999999994,5.0,0.0,6.94,242.0,37.0,9525.0,Center,CA,USA,True,False,False,L,Y
150,1100000.0,26,75.0,195,607.28,15.0,8.0,4.0,26.0,4.0,75.0,8.2,0.0,1.0,75.03,13.0,7.0,1125.0,Right Wing,0,RUS,False,False,False,L,Y
151,3900000.0,31,74.0,203,11031.82,193.0,42.0,197.0,528.0,197.0,100.0,36.39,4.0,1.0,160.71,529.0,-13.0,14282.0,Defenseman,MN,USA,False,False,False,L,Y
152,24136.0,30,74.0,209,599.5999999999999,7.0,6.0,14.0,55.0,14.0,184.01000000000002,29.43,0.0,1.0,64.15,13.0,-9.0,518.0,Center,CO,USA,False,False,False,R,Y
