,birthDate,currentAge,height,weight,sal_14_15,sal_15_16,sal_16_17,sal_17_18,sal_18_19,sal_19_20,sal_20_21,total_timeOnIce,total_assists,total_goals,total_pim,total_shots,total_games,total_hits,total_powerPlayGoals,total_powerPlayPoints,total_powerPlayTimeOnIce,total_evenTimeOnIce,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_gameWinningGoals,total_overTimeGoals,total_shortHandedGoals,total_shortHandedPoints,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,total_points,total_shifts,total_timeOnIcePerGame,total_evenTimeOnIcePerGame,total_shortHandedTimeOnIcePerGame,total_powerPlayTimeOnIcePerGame
31,1996,25,70.0,184,0.0,0.0,0.0,0.0,0.0,12000000.0,10570000.0,357.24,3,1,6,24,22,10,1,1,21.24,335.53,6,0.0,4.17,0,0,0,0,0.07,14,-5,4,434,16.14,15.16,0.0,0.58
32,1991,30,75.0,217,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,8197.189999999999,158,155,435,1154,500,995,47,78,1250.6999999999998,6932.240000000001,435,346.07,93.52000000000001,19,1,0,0,10.649999999999999,213,69,313,10913,113.17,95.24,0.06999999999999999,16.18
33,1990,31,73.0,210,0.0,0.0,0.0,0.0,0.0,0.0,365000.0,2396.25,25,2,122,147,183,379,0,0,12.83,2250.6800000000003,122,100.0,9.26,1,0,0,1,129.54,185,-7,27,3236,74.92,71.75,2.48,0.24999999999999997
34,1993,28,69.0,190,0.0,0.0,0.0,0.0,0.0,0.0,585298.0,353.71999999999997,7,3,12,36,33,53,0,0,2.56,350.75,12,100.88,9.7,0,0,0,0,0.01,26,6,10,491,20.009999999999998,19.89,0.0,0.1
35,1993,28,73.0,193,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,7808.300000000001,159,95,268,925,491,421,17,57,1016.02,6426.200000000001,268,313.94,72.64,13,2,1,3,363.28,154,19,254,9953,109.91,90.17999999999999,4.0600000000000005,13.21
36,1993,28,74.0,208,0.0,0.0,0.0,6000000.0,5500000.0,5350000.0,5150000.0,8908.66,194,169,147,1262,497,678,53,115,1344.04,6965.7699999999995,147,346.95000000000005,92.11,24,5,7,10,596.45,303,-34,363,11789,124.21,96.46,7.1000000000000005,17.0
37,1993,28,74.0,203,0.0,0.0,0.0,0.0,0.0,198399.0,850000.0,3369.3,47,26,252,321,276,442,0,2,74.34,2923.5099999999998,252,280.5,34.29,8,0,2,5,369.85,193,-3,73,5040,69.46,61.190000000000005,5.09,0.7000000000000001
38,1993,28,74.0,203,0.0,0.0,0.0,0.0,0.0,198399.0,850000.0,3369.3,47,26,252,321,276,442,0,2,74.34,2923.5099999999998,252,280.5,34.29,8,0,2,5,369.85,193,-3,73,5040,69.46,61.190000000000005,5.09,0.7000000000000001
39,1994,27,75.0,209,0.0,0.0,0.0,0.0,0.0,12000000.0,10000000.0,10917.8,157,49,358,1015,478,812,10,46,833.3,8759.74,358,0.0,34.440000000000005,6,2,3,10,1322.76,946,25,206,12835,158.42000000000002,127.44,17.65,10.490000000000002
40,1995,26,75.0,197,0.0,0.0,0.0,0.0,0.0,3000000.0,3500000.0,3776.63,88,59,70,458,247,208,17,41,555.0899999999999,3214.2900000000004,70,85.75,53.28999999999999,6,0,0,0,5.65,85,-5,147,4907,59.8,50.870000000000005,0.04,7.66
