,type,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,timeOnIce20,assists20,goals20,pim20,shots20,games20,hits20,powerPlayGoals20,powerPlayPoints20,powerPlayTimeOnIce20,evenTimeOnIce20,penaltyMinutes20,faceOffPct20,shotPct20,gameWinningGoals20,overTimeGoals20,shortHandedGoals20,shortHandedPoints20,shortHandedTimeOnIce20,blocked20,plusMinus20,points20,shifts20,timeOnIcePerGame20,evenTimeOnIcePerGame20,shortHandedTimeOnIcePerGame20,powerPlayTimeOnIcePerGame20,timeOnIce19,assists19,goals19,pim19,shots19,games19,hits19,powerPlayGoals19,powerPlayPoints19,powerPlayTimeOnIce19,evenTimeOnIce19,penaltyMinutes19,faceOffPct19,shotPct19,gameWinningGoals19,overTimeGoals19,shortHandedGoals19,shortHandedPoints19,shortHandedTimeOnIce19,blocked19,plusMinus19,points19,shifts19,timeOnIcePerGame19,evenTimeOnIcePerGame19,shortHandedTimeOnIcePerGame19,powerPlayTimeOnIcePerGame19,timeOnIce18,assists18,goals18,pim18,shots18,games18,hits18,powerPlayGoals18,powerPlayPoints18,powerPlayTimeOnIce18,evenTimeOnIce18,penaltyMinutes18,faceOffPct18,shotPct18,gameWinningGoals18,overTimeGoals18,shortHandedGoals18,shortHandedPoints18,shortHandedTimeOnIce18,blocked18,plusMinus18,points18,shifts18,timeOnIcePerGame18,evenTimeOnIcePerGame18,shortHandedTimeOnIcePerGame18,powerPlayTimeOnIcePerGame18,timeOnIce17,assists17,goals17,pim17,shots17,games17,hits17,powerPlayGoals17,powerPlayPoints17,powerPlayTimeOnIce17,evenTimeOnIce17,penaltyMinutes17,faceOffPct17,shotPct17,gameWinningGoals17,overTimeGoals17,shortHandedGoals17,shortHandedPoints17,shortHandedTimeOnIce17,blocked17,plusMinus17,points17,shifts17,timeOnIcePerGame17,evenTimeOnIcePerGame17,shortHandedTimeOnIcePerGame17,powerPlayTimeOnIcePerGame17,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2013-14,2011-12,2012-13,2010-11
237,Forward,1999,22,Hanover,MA,USA,USA,74,205,True,False,False,True,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,273486.0,0.0,0.0,0.0,0.0
238,Forward,1984,37,Vantaa,Unknown,FIN,FIN,72,189,True,False,False,False,L,Y,1162.52,15.0,6.0,24.0,63.0,70.0,28.0,1.0,5.0,132.25,911.53,24.0,44.87,9.5,0.0,0.0,1.0,1.0,118.34,31.0,-42.0,21.0,1494.0,16.36,13.01,1.41,1.53,1027.47,14,17,16,78,72,12,0,0,45.35,849.09,16,49.07,21.79,4,1,1,1,133.03,34,19,31,1389,14.16,11.47,1.5,0.37,1334.37,22,11,20,70,81,25,3,4,124.39,1105.19,20,51.26,15.71,4,0,0,2,104.39,55,-7,33,1792,16.28,13.38,1.17,1.32,1375.05,30,12,26,97,79,26,0,7,149.12,1087.51,26,47.84,12.37,1,0,0,0,138.02,39,-1,42,1773,17.24,13.46,1.44,1.53,0.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0
239,Forward,1984,37,Herning,Unknown,DNK,DNK,73,186,True,True,False,False,L,Y,821.0,5.0,4.0,8.0,86.0,60.0,44.0,0.0,2.0,62.06,653.51,8.0,46.05,4.7,0.0,0.0,1.0,2.0,105.03,35.0,-13.0,9.0,1167.0,13.41,10.53,1.45,1.02,1200.55,25,10,14,120,72,79,0,8,160.12,941.56,14,48.75,8.33,4,0,0,1,98.47,44,-7,35,1641,16.4,13.04,1.22,2.13,1250.23,17,16,14,134,79,49,4,7,69.15,1012.04,14,46.39,11.94,3,0,2,3,169.04,62,1,33,1848,15.49,12.48,2.08,0.52,1354.41,24,17,18,162,79,64,4,15,189.46,1013.28,18,53.78,10.49,0,0,2,2,151.27,54,-19,41,1927,17.08,12.49,1.55,2.24,0.0,0.0,6000000.0,6000000.0,6000000.0,5500000.0,5000000.0,0.0,0.0,0.0,0.0
240,Defenseman,1987,34,Thunder Bay,ON,CAN,CAN,76,209,True,False,False,False,L,Y,917.23,9.0,2.0,16.0,46.0,52.0,69.0,0.0,0.0,2.55,772.35,16.0,0.0,4.3,0.0,0.0,0.0,0.0,141.53,76.0,5.0,11.0,1187.0,17.38,14.51,2.43,0.03,1534.12,10,3,32,84,79,94,0,0,2.23,1303.27,32,0.0,3.57,0,0,0,0,228.22,119,-9,13,2061,19.25,16.29,2.53,0.01,1334.19,7,1,18,68,72,76,0,0,2.46,1128.11,18,0.0,1.47,0,0,0,0,203.22,96,11,8,1824,18.31,15.4,2.49,0.02,1380.42,7,3,34,70,72,89,0,0,3.26,1236.06,34,0.0,4.29,0,0,0,1,141.1,97,9,10,1907,19.1,17.1,1.57,0.02,0.0,7000000.0,6000000.0,6000000.0,6000000.0,5000000.0,4200000.0,0.0,0.0,0.0,0.0
241,Forward,1987,34,St. Andrews,MB,CAN,CAN,72,192,True,False,False,False,L,Y,933.52,7.0,9.0,37.0,102.0,68.0,88.0,0.0,0.0,2.19,819.16,37.0,53.57,8.8,0.0,0.0,1.0,2.0,112.17,26.0,-6.0,16.0,1309.0,13.44,12.02,1.39,0.02,889.02,10,7,20,107,61,50,0,0,2.5,771.21,20,44.44,6.54,0,0,1,4,114.51,26,-11,17,1264,14.34,12.38,1.52,0.02,1167.28,18,13,39,141,75,131,0,0,9.33,1007.15,39,44.11,9.22,0,0,2,4,150.4,36,3,31,1693,15.33,13.25,2.0,0.07,768.28,9,8,20,98,50,71,2,4,41.44,644.18,20,51.42,8.16,1,0,0,1,82.26,18,-6,17,1089,15.22,12.53,1.38,0.5,0.0,0.0,5000000.0,4500000.0,3750000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0
242,Defenseman,1988,33,Montreal,QC,CAN,CAN,70,199,True,False,False,False,R,Y,804.38,3.0,0.0,24.0,55.0,49.0,115.0,0.0,0.0,1.12,719.48,24.0,0.0,0.0,0.0,0.0,0.0,0.0,83.38,46.0,-9.0,3.0,1085.0,16.25,14.41,1.42,0.01,724.31,14,2,22,91,41,101,0,1,3.21,693.03,22,0.0,2.2,0,0,0,0,28.07,43,0,16,991,17.4,16.54,0.41,0.04,660.54,8,1,32,79,44,126,0,0,1.28,624.46,32,0.0,1.27,1,0,0,1,34.4,53,3,9,862,15.01,14.11,0.47,0.02,474.04,3,0,18,37,36,97,0,0,7.57,443.0,18,0.0,0.0,0,0,0,0,23.07,24,-4,3,701,13.1,12.18,0.38,0.13,0.0,0.0,0.0,0.0,0.0,0.0,467666.0,0.0,0.0,0.0,0.0
243,Forward,1989,31,London,ON,CAN,CAN,71,200,True,False,False,False,R,Y,560.4,7.0,6.0,12.0,79.0,42.0,22.0,2.0,3.0,42.39,517.29,12.0,44.11,7.6,0.0,0.0,0.0,0.0,0.32,10.0,-10.0,13.0,679.0,13.2,12.19,0.0,1.0,466.43,7,6,14,68,32,21,1,1,45.3,420.27,14,50.0,8.82,1,0,0,0,0.46,7,-6,13,596,14.35,13.08,0.01,1.25,1118.13,21,10,35,164,74,54,3,11,150.1,960.23,35,47.72,6.1,2,1,0,0,7.4,28,-18,31,1560,15.06,12.58,0.06,2.01,1110.54,32,18,22,178,81,22,8,18,196.33,913.29,22,47.52,10.11,1,0,0,0,0.52,16,10,50,1428,13.42,11.16,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,850000.0,0.0,0.0,0.0,0.0
244,Defenseman,1991,30,Eden Prairie,MN,USA,USA,72,207,True,False,False,False,L,Y,1266.44,18.0,3.0,14.0,72.0,60.0,62.0,1.0,4.0,70.14,1146.57,14.0,0.0,4.2,0.0,0.0,0.0,0.0,49.33,72.0,-1.0,21.0,1525.0,21.06,19.06,0.49,1.1,1767.06,22,4,18,116,82,77,0,10,228.57,1505.46,18,0.0,3.45,0,0,0,0,32.23,89,0,26,2133,21.33,18.21,0.23,2.47,1793.41,32,10,20,153,80,95,4,14,261.25,1477.24,20,0.0,6.54,1,1,0,0,54.52,104,-42,42,1966,22.25,18.28,0.41,3.16,1840.1,35,11,12,137,81,77,3,15,255.0,1521.4,12,0.0,8.03,1,0,0,0,63.3,109,-3,46,1912,22.43,18.47,0.47,3.08,0.0,4000000.0,4500000.0,5000000.0,5500000.0,6000000.0,6500000.0,0.0,0.0,0.0,0.0
245,Forward,1992,28,Zhukovskiy,Unknown,RUS,RUS,72,183,True,False,False,False,L,Y,978.47,14.0,17.0,45.0,98.0,65.0,108.0,2.0,4.0,99.21,765.59,45.0,46.8,17.3,2.0,0.0,4.0,6.0,113.27,47.0,-5.0,31.0,1411.0,15.03,11.47,1.44,1.31,1231.48,20,11,44,119,78,140,1,3,108.3,995.01,44,40.74,9.24,3,0,2,5,128.17,62,-7,31,1651,15.47,12.45,1.38,1.23,1384.06,26,22,45,155,81,79,9,16,246.33,1131.3,45,45.82,14.19,2,0,0,0,6.03,44,6,48,1718,17.05,13.58,0.04,3.02,1094.05,18,10,31,114,74,72,3,6,154.44,917.19,31,43.54,8.77,0,0,0,1,22.02,31,-4,28,1398,14.47,12.23,0.17,2.05,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0
246,Forward,1989,32,Grand Rapids,MI,USA,USA,71,191,True,True,False,False,R,Y,921.16,3.0,6.0,14.0,76.0,60.0,147.0,0.0,0.0,6.57,741.33,14.0,56.14,7.9,1.0,0.0,1.0,1.0,172.46,68.0,-29.0,9.0,1323.0,15.21,12.21,2.52,0.06,1231.31,13,10,15,102,78,198,0,0,9.3,1024.5,15,55.66,9.8,1,0,1,3,197.11,102,2,23,1818,15.47,13.08,2.31,0.07,910.44,8,11,17,88,69,137,1,1,5.13,718.03,17,58.02,12.5,2,0,2,3,187.28,83,-14,19,1385,13.11,10.24,2.43,0.04,955.43,11,3,26,76,74,150,0,1,6.31,781.15,26,54.04,3.95,0,0,0,0,167.57,62,-10,14,1459,12.54,10.33,2.16,0.05,0.0,0.0,675000.0,2000000.0,2000000.0,1700000.0,1500000.0,0.0,0.0,0.0,0.0
247,Defenseman,1994,26,Gothenburg,Unknown,SWE,SWE,72,180,True,False,False,False,L,Y,210.09,2.0,1.0,0.0,13.0,11.0,2.0,0.0,1.0,23.59,172.39,0.0,0.0,7.7,0.0,0.0,0.0,0.0,13.31,12.0,3.0,3.0,275.0,19.06,15.41,1.13,2.1,610.43,9,1,4,33,45,18,0,0,3.15,606.23,4,0.0,3.03,0,0,0,0,1.05,28,9,10,782,13.34,13.28,0.01,0.04,884.1,11,3,10,60,63,22,0,0,15.06,864.53,10,0.0,5.0,0,0,0,0,4.11,55,13,14,1162,14.02,13.43,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0
248,Forward,1995,26,New Haven,CT,USA,USA,73,212,True,False,False,False,L,Y,661.41,3.0,2.0,28.0,63.0,56.0,142.0,0.0,0.0,48.37,610.26,28.0,60.6,3.2,0.0,0.0,0.0,0.0,2.38,25.0,-24.0,5.0,902.0,11.48,10.54,0.02,0.52,685.38,13,7,40,70,65,159,2,2,33.01,633.22,40,47.82,10.0,3,0,0,0,19.15,26,10,20,976,10.32,9.44,0.17,0.3,232.44,1,3,11,29,23,37,0,0,1.46,230.34,11,62.5,10.34,1,0,0,0,0.24,8,-1,4,335,10.07,10.01,0.01,0.04,306.59,0,3,11,40,26,71,0,0,26.38,280.21,11,0.0,7.5,0,0,0,0,0.0,13,-9,3,441,11.48,10.46,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,997500.0,0.0,0.0,0.0,0.0
249,Forward,1996,25,Prague,Unknown,CZE,CZE,72,197,True,False,False,False,L,Y,1026.53,27.0,25.0,18.0,187.0,69.0,29.0,1.0,12.0,134.0,891.29,18.0,54.54,13.4,6.0,1.0,0.0,0.0,1.24,16.0,3.0,52.0,1232.0,14.52,12.55,0.01,1.56,1151.18,23,24,27,161,82,47,1,4,93.17,1057.31,27,40.0,14.91,4,0,0,0,0.3,32,20,47,1415,14.02,12.53,0.0,1.08,912.24,14,13,12,133,73,31,1,3,48.54,863.14,12,52.0,9.77,2,0,0,0,0.16,16,2,27,1140,12.29,11.49,0.0,0.4,233.17,3,3,2,32,21,6,3,4,37.56,195.21,2,0.0,9.38,2,0,0,0,0.0,7,2,6,291,11.06,9.18,0.0,1.48,0.0,0.0,0.0,0.0,0.0,3700000.0,672412.0,0.0,0.0,0.0,0.0
250,Forward,1996,24,Waterford,MI,USA,USA,73,198,True,False,True,False,L,Y,1508.41,34.0,19.0,39.0,223.0,71.0,52.0,5.0,14.0,229.11,1226.22,39.0,52.42,8.5,0.0,0.0,0.0,0.0,53.08,45.0,-21.0,53.0,1702.0,21.14,17.16,0.44,3.13,1660.0,41,32,75,287,76,80,7,15,185.53,1374.25,75,54.5,11.15,4,4,2,3,99.42,38,-6,73,1973,21.5,18.05,1.18,2.26,1627.1,47,16,61,232,82,76,1,8,177.35,1286.42,61,49.92,6.9,4,0,2,3,162.53,42,-9,63,2076,19.5,15.41,1.59,2.09,1292.14,15,17,37,178,80,67,5,7,149.56,1115.08,37,45.37,9.55,1,0,1,1,27.1,22,-28,32,1715,16.09,13.56,0.2,1.52,0.0,0.0,0.0,0.0,6750000.0,7000000.0,4750000.0,0.0,0.0,0.0,0.0
251,Defenseman,1994,27,Richmond,BC,CAN,CAN,70,186,True,False,False,False,R,Y,1058.59,12.0,5.0,32.0,86.0,69.0,69.0,0.0,0.0,4.08,1017.03,32.0,0.0,5.8,0.0,0.0,0.0,0.0,37.48,70.0,10.0,17.0,1473.0,15.2,14.44,0.32,0.03,1553.31,21,2,32,105,78,91,0,2,68.41,1372.46,32,0.0,1.9,0,0,1,1,112.04,96,9,23,1915,19.55,17.35,1.26,0.52,1279.11,10,1,35,94,68,111,0,1,16.05,1159.57,35,0.0,1.06,0,0,0,1,103.09,75,-7,11,1628,18.48,17.03,1.31,0.14,1418.3,21,3,25,125,71,51,1,8,192.51,1221.22,25,0.0,2.4,0,0,0,0,4.17,66,-16,24,1719,19.58,17.12,0.03,2.42,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0.0
252,Forward,1994,26,Orby,Unknown,SWE,SWE,72,183,True,False,False,False,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,451350.0,0.0,0.0,0.0,0.0
253,Forward,1985,36,Belleville,ON,CAN,CAN,72,190,True,False,False,False,L,Y,805.07,5.0,6.0,20.0,76.0,59.0,77.0,0.0,0.0,2.12,651.41,20.0,53.95,7.9,3.0,0.0,1.0,2.0,151.14,44.0,1.0,11.0,1204.0,13.38,11.02,2.33,0.02,1053.4,8,19,22,128,66,63,0,0,16.37,869.01,22,54.9,14.84,3,0,3,6,168.02,55,6,27,1549,15.57,13.1,2.32,0.15,1122.17,12,3,45,105,76,72,0,0,7.02,957.15,45,52.06,2.86,0,0,0,0,158.0,52,-24,15,1700,14.46,12.35,2.04,0.05,245.32,4,5,15,25,16,19,0,0,3.01,210.07,15,52.6,20.0,0,0,2,3,32.24,7,-1,9,339,15.2,13.07,2.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0
254,Defenseman,1990,31,Bern,Unknown,CHE,CHE,73,201,True,False,True,False,L,Y,1778.45,49.0,16.0,41.0,260.0,69.0,52.0,4.0,23.0,226.09,1414.05,41.0,0.0,6.2,1.0,0.0,0.0,0.0,138.31,108.0,22.0,65.0,1972.0,25.46,20.29,2.0,3.16,2063.34,41,15,42,274,82,53,2,12,244.3,1606.42,42,0.0,5.47,4,0,0,1,212.22,144,9,56,2359,25.09,19.35,2.35,2.58,1835.17,39,14,24,253,75,80,7,20,216.41,1390.0,24,0.0,5.53,3,1,0,1,228.36,120,24,53,2152,24.28,18.32,3.02,2.53,1805.23,37,12,18,217,72,54,7,18,217.45,1422.16,18,0.0,5.53,1,0,0,1,165.22,119,7,49,2076,25.04,19.45,2.17,3.01,0.0,0.0,0.0,0.0,0.0,0.0,11750000.0,0.0,0.0,0.0,0.0
255,Forward,1991,30,Haliburton,ON,CAN,CAN,71,195,True,False,False,False,L,Y,1114.07,29.0,13.0,24.0,136.0,66.0,40.0,5.0,11.0,174.38,937.57,24.0,56.11,9.6,1.0,0.0,0.0,0.0,1.32,22.0,-4.0,42.0,1337.0,16.52,14.12,0.01,2.38,1374.54,39,31,8,172,73,28,6,14,187.28,1175.04,8,55.31,18.02,1,0,0,0,12.22,40,-3,70,1601,18.5,16.05,0.1,2.34,1503.14,32,27,18,190,82,60,9,13,219.49,1262.43,18,52.95,14.21,3,1,0,0,20.42,49,-22,59,1836,18.19,15.23,0.15,2.4,1409.25,23,18,12,160,77,42,3,9,193.21,1142.2,12,62.56,11.25,3,1,1,1,73.44,41,-34,41,1797,18.18,14.5,0.57,2.3,0.0,0.0,0.0,0.0,0.0,10000000.0,8000000.0,0.0,0.0,0.0,0.0
256,Defenseman,1990,31,Borlange,Unknown,SWE,SWE,76,215,True,True,False,False,L,Y,1589.23,25.0,8.0,32.0,154.0,68.0,49.0,0.0,5.0,90.14,1306.49,32.0,0.0,5.2,2.0,0.0,1.0,2.0,192.2,100.0,-1.0,33.0,1856.0,23.22,19.13,2.49,1.19,1869.07,36,8,47,146,80,68,2,7,109.54,1580.55,47,0.0,5.48,3,1,0,2,178.18,107,27,44,2288,23.21,19.45,2.13,1.22,1909.46,24,10,46,135,81,75,5,13,151.37,1524.21,46,0.0,7.41,1,0,1,1,233.48,117,25,34,2306,23.34,18.49,2.53,1.52,1923.35,20,3,34,120,82,61,0,3,117.0,1621.04,34,0.0,2.5,1,0,0,1,185.31,108,4,23,2330,23.27,19.46,2.15,1.25,0.0,1037500.0,3000000.0,3500000.0,4000000.0,4000000.0,3000000.0,0.0,0.0,0.0,0.0
257,Forward,1991,30,Pori,Unknown,FIN,FIN,72,193,True,False,False,False,L,Y,759.52,12.0,12.0,22.0,92.0,48.0,27.0,4.0,8.0,110.23,612.35,22.0,54.11,13.0,2.0,0.0,0.0,0.0,36.54,15.0,1.0,24.0,973.0,15.49,12.45,0.46,2.17,248.49,5,2,10,26,15,11,0,1,35.24,211.1,10,51.31,7.69,0,0,0,0,2.15,6,1,7,289,16.35,14.04,0.09,2.21,1320.24,26,29,37,175,76,85,11,19,181.01,1098.54,37,50.51,16.57,4,0,0,0,40.29,42,-16,55,1530,17.22,14.27,0.31,2.22,994.33,11,15,28,134,72,39,1,1,14.31,902.52,28,53.86,11.19,4,0,0,0,77.1,38,5,26,1389,13.48,12.32,1.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,0.0,0.0,0.0,0.0
258,Forward,1992,28,Vancouver,BC,CAN,CAN,75,218,True,True,False,False,R,Y,1159.45,22.0,14.0,45.0,101.0,68.0,39.0,3.0,9.0,182.5,915.58,45.0,53.19,13.9,2.0,0.0,1.0,1.0,60.57,34.0,-5.0,36.0,1495.0,17.03,13.28,0.53,2.41,1564.25,50,14,42,136,80,95,0,16,243.23,1206.56,42,53.52,10.29,6,1,1,2,114.06,23,7,64,2000,19.33,15.05,1.25,3.02,1465.21,39,15,78,129,79,87,1,15,240.36,1142.09,78,55.44,11.63,3,0,0,2,82.36,35,13,54,1921,18.32,14.27,1.02,3.02,1544.31,47,14,60,154,82,77,4,23,239.5,1240.02,60,54.55,9.09,3,0,1,1,64.39,28,1,61,1998,18.5,15.07,0.47,2.55,0.0,0.0,0.0,8000000.0,8000000.0,8000000.0,8000000.0,0.0,0.0,0.0,0.0
259,Forward,1992,29,Oulu,Unknown,FIN,FIN,70,185,True,False,False,False,L,Y,1121.33,13.0,17.0,28.0,130.0,63.0,42.0,4.0,6.0,154.08,918.14,28.0,48.66,13.1,4.0,2.0,1.0,1.0,49.11,55.0,-4.0,30.0,1362.0,17.48,14.34,0.46,2.26,1449.08,38,16,24,189,79,46,2,20,202.28,1197.39,24,44.79,8.47,5,1,2,2,49.01,40,-8,54,1730,18.2,15.09,0.37,2.33,1446.11,46,21,18,193,77,47,7,19,192.12,1106.26,18,55.2,10.88,2,0,1,3,147.33,45,13,67,1727,18.46,14.22,1.54,2.29,1524.47,43,26,12,177,81,50,7,20,177.06,1226.01,12,48.48,14.69,4,1,3,4,121.4,50,23,69,1919,18.49,15.08,1.3,2.11,0.0,0.0,0.0,0.0,0.0,0.0,3750000.0,0.0,0.0,0.0,0.0
260,Forward,1993,27,Belleville,ON,CAN,CAN,71,183,True,False,False,False,L,Y,878.13,15.0,10.0,35.0,115.0,65.0,91.0,3.0,5.0,103.15,774.01,35.0,47.94,8.7,0.0,0.0,0.0,0.0,0.57,31.0,0.0,25.0,1148.0,13.3,11.54,0.0,1.35,1097.07,20,7,35,144,81,115,1,3,70.2,1025.46,35,46.73,4.86,2,0,0,0,1.01,51,-8,27,1532,13.32,12.39,0.0,0.52,913.15,7,12,31,119,71,117,1,1,23.04,887.59,31,37.5,10.08,1,1,0,0,2.12,39,-7,19,1312,12.51,12.3,0.01,0.19,720.04,10,6,31,99,60,61,1,2,70.44,647.51,31,41.01,6.06,0,0,0,0,1.29,24,-6,16,1006,12.0,10.47,0.01,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0
261,Forward,1993,28,Anaheim,CA,USA,USA,66,180,True,False,False,False,R,Y,834.53,21.0,10.0,10.0,122.0,66.0,23.0,0.0,0.0,8.43,825.05,10.0,16.66,8.2,1.0,0.0,0.0,0.0,1.05,14.0,10.0,31.0,1119.0,12.38,12.3,0.0,0.07,530.2,8,5,10,81,53,32,0,0,1.31,527.53,10,57.14,6.17,0,0,0,0,0.56,20,-2,13,747,10.0,9.57,0.01,0.01,57.51,2,1,0,7,6,3,0,0,0.53,56.58,0,0.0,14.29,0,0,0,0,0.0,5,0,3,85,9.38,9.29,0.0,0.08,44.0,1,0,2,11,4,1,0,0,0.0,44.0,2,0.0,0.0,0,0,0,0,0.0,4,-3,1,57,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0
262,Forward,1994,26,Ostervala,Unknown,SWE,SWE,73,205,True,True,False,False,R,Y,1093.05,27.0,21.0,29.0,198.0,63.0,82.0,7.0,14.0,180.25,887.56,29.0,33.33,10.6,2.0,0.0,0.0,0.0,24.44,27.0,-7.0,48.0,1354.0,17.21,14.05,0.23,2.51,1191.27,22,28,26,217,64,100,7,10,193.39,930.54,26,14.28,12.9,4,1,2,2,66.54,29,8,50,1577,18.36,14.32,1.02,3.01,1170.46,38,26,38,179,67,86,13,21,194.02,938.49,38,44.44,14.53,6,2,0,1,37.55,37,27,64,1601,17.28,14.0,0.33,2.53,1518.29,27,31,32,234,82,97,3,9,214.42,1184.44,32,27.77,13.25,9,1,3,3,119.03,26,-4,58,2080,18.31,14.26,1.27,2.37,0.0,0.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,0.0,0.0,0.0,0.0
263,Forward,1993,27,North Vancouver,BC,CAN,CAN,73,200,True,False,False,False,R,Y,816.52,6.0,9.0,20.0,52.0,57.0,84.0,0.0,0.0,12.11,670.38,20.0,51.26,17.3,2.0,0.0,1.0,1.0,134.03,41.0,-2.0,15.0,1124.0,14.19,11.45,2.21,0.12,1203.19,15,15,23,111,75,109,1,2,87.31,967.34,23,53.09,13.51,3,1,0,1,148.14,52,20,30,1652,16.02,12.54,1.58,1.1,1303.38,18,9,42,120,81,136,1,7,157.04,959.08,42,55.29,7.5,4,0,0,3,187.26,49,2,27,1832,16.05,11.5,2.18,1.56,645.08,2,8,12,42,58,104,0,0,4.02,587.57,12,50.0,19.05,1,0,1,1,53.09,24,11,10,981,11.07,10.08,0.54,0.04,0.0,0.0,0.0,0.0,0.0,3450000.0,2500000.0,0.0,0.0,0.0,0.0
264,Defenseman,1994,26,Edmonton,AB,CAN,CAN,74,200,True,False,False,True,R,Y,60.57,0.0,0.0,17.0,2.0,6.0,13.0,0.0,0.0,0.0,58.37,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,7.0,-2.0,0.0,80.0,10.09,9.46,0.23,0.0,27.35,1,1,7,3,2,4,0,0,0.0,26.29,7,0.0,33.33,0,0,0,0,1.06,1,3,2,40,13.47,13.14,0.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18102.0,0.0,0.0,0.0,0.0
265,Defenseman,1995,26,Hamilton,ON,CAN,CAN,78,231,True,False,False,False,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.39,4,1,56,50,51,89,0,0,1.26,772.03,56,0.0,2.0,0,0,0,0,125.1,69,-13,5,1176,17.37,15.08,2.27,0.01,610.2,1,0,21,26,41,71,0,0,0.36,539.07,21,0.0,0.0,0,0,0,0,70.37,35,-21,1,874,14.53,13.08,1.43,0.0,106.49,0,0,0,3,6,5,0,0,2.35,102.33,0,0.0,0.0,0,0,0,0,1.41,3,-1,0,151,17.48,17.05,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,416346.0,0.0,0.0,0.0,0.0
266,Forward,1995,26,Grosse Pointe,MI,USA,USA,78,232,True,False,False,False,R,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.43,1,0,32,15,18,61,0,0,1.33,156.07,32,48.78,0.0,0,0,0,0,0.03,14,-1,1,233,8.45,8.4,0.0,0.05,306.33,4,1,41,31,31,75,0,0,13.29,292.46,41,43.42,3.23,0,0,0,0,0.18,11,-4,5,453,9.53,9.26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,96544.0,0.0,0.0,0.0,0.0
267,Forward,1997,24,Chelyabinsk,Unknown,RUS,RUS,74,201,True,False,False,True,L,Y,204.26,4.0,2.0,9.0,25.0,21.0,46.0,0.0,0.0,0.27,203.59,9.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,294.0,9.44,9.42,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,0.0,0.0,0.0,0.0
268,Defenseman,1997,24,Moncton,NB,CAN,CAN,77,210,True,False,False,False,R,Y,855.21,12.0,4.0,30.0,78.0,50.0,80.0,0.0,0.0,7.08,831.01,30.0,0.0,5.1,0.0,0.0,0.0,0.0,17.12,44.0,17.0,16.0,1176.0,17.06,16.37,0.2,0.08,322.42,1,1,2,25,21,42,0,0,2.22,305.1,2,0.0,4.0,0,0,0,0,15.1,8,-5,2,409,15.22,14.31,0.43,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0
